334234,229376,91750,13107,Iris-setosa
321126,196608,91750,13107,Iris-setosa
308019,209715,85197,13107,Iris-setosa
301466,203162,98304,13107,Iris-setosa
327680,235930,91750,13107,Iris-setosa
353894,255590,111411,26214,Iris-setosa
301466,222822,91750,19661,Iris-setosa
327680,222822,98304,13107,Iris-setosa
288358,190054,91750,13107,Iris-setosa
321126,203162,98304,6554,Iris-setosa
353894,242483,98304,13107,Iris-setosa
314573,222822,104858,13107,Iris-setosa
314573,196608,91750,6554,Iris-setosa
281805,196608,72090,6554,Iris-setosa
380109,262144,78643,13107,Iris-setosa
373555,288358,98304,26214,Iris-setosa
353894,255590,85197,26214,Iris-setosa
334234,229376,91750,19661,Iris-setosa
373555,249037,111411,19661,Iris-setosa
334234,249037,98304,19661,Iris-setosa
353894,222822,111411,13107,Iris-setosa
334234,242483,98304,26214,Iris-setosa
301466,235930,65536,13107,Iris-setosa
334234,216269,111411,32768,Iris-setosa
314573,222822,124518,13107,Iris-setosa
327680,196608,104858,13107,Iris-setosa
327680,222822,104858,26214,Iris-setosa
340787,229376,98304,13107,Iris-setosa
340787,222822,91750,13107,Iris-setosa
308019,209715,104858,13107,Iris-setosa
314573,203162,104858,13107,Iris-setosa
353894,222822,98304,26214,Iris-setosa
340787,268698,98304,6554,Iris-setosa
360448,275251,91750,13107,Iris-setosa
321126,203162,98304,6554,Iris-setosa
327680,209715,78643,13107,Iris-setosa
360448,229376,85197,13107,Iris-setosa
321126,203162,98304,6554,Iris-setosa
288358,196608,85197,13107,Iris-setosa
334234,222822,98304,13107,Iris-setosa
327680,229376,85197,19661,Iris-setosa
294912,150733,85197,19661,Iris-setosa
288358,209715,85197,13107,Iris-setosa
327680,229376,104858,39322,Iris-setosa
334234,249037,124518,26214,Iris-setosa
314573,196608,91750,19661,Iris-setosa
334234,249037,104858,13107,Iris-setosa
301466,209715,91750,13107,Iris-setosa
347341,242483,98304,13107,Iris-setosa
327680,216269,91750,13107,Iris-setosa
458752,209715,308019,91750,Iris-versicolor
419430,209715,294912,98304,Iris-versicolor
452198,203162,321126,98304,Iris-versicolor
360448,150733,262144,85197,Iris-versicolor
425984,183501,301466,98304,Iris-versicolor
373555,183501,294912,85197,Iris-versicolor
412877,216269,308019,104858,Iris-versicolor
321126,157286,216269,65536,Iris-versicolor
432538,190054,301466,85197,Iris-versicolor
340787,176947,255590,91750,Iris-versicolor
327680,131072,229376,65536,Iris-versicolor
386662,196608,275251,98304,Iris-versicolor
393216,144179,262144,65536,Iris-versicolor
399770,190054,308019,91750,Iris-versicolor
367002,190054,235930,85197,Iris-versicolor
439091,203162,288358,91750,Iris-versicolor
367002,196608,294912,98304,Iris-versicolor
380109,176947,268698,65536,Iris-versicolor
406323,144179,294912,98304,Iris-versicolor
367002,163840,255590,72090,Iris-versicolor
386662,209715,314573,117965,Iris-versicolor
399770,183501,262144,85197,Iris-versicolor
412877,163840,321126,98304,Iris-versicolor
399770,183501,308019,78643,Iris-versicolor
419430,190054,281805,85197,Iris-versicolor
432538,196608,288358,91750,Iris-versicolor
445645,183501,314573,91750,Iris-versicolor
439091,196608,327680,111411,Iris-versicolor
393216,190054,294912,98304,Iris-versicolor
373555,170394,229376,65536,Iris-versicolor
360448,157286,249037,72090,Iris-versicolor
360448,157286,242483,65536,Iris-versicolor
380109,176947,255590,78643,Iris-versicolor
393216,176947,334234,104858,Iris-versicolor
353894,196608,294912,98304,Iris-versicolor
393216,222822,294912,104858,Iris-versicolor
439091,203162,308019,98304,Iris-versicolor
412877,150733,288358,85197,Iris-versicolor
367002,196608,268698,85197,Iris-versicolor
360448,163840,262144,85197,Iris-versicolor
360448,170394,288358,78643,Iris-versicolor
399770,196608,301466,91750,Iris-versicolor
380109,170394,262144,78643,Iris-versicolor
327680,150733,216269,65536,Iris-versicolor
367002,176947,275251,85197,Iris-versicolor
373555,196608,275251,78643,Iris-versicolor
373555,190054,275251,85197,Iris-versicolor
406323,190054,281805,85197,Iris-versicolor
334234,163840,196608,72090,Iris-versicolor
373555,183501,268698,85197,Iris-versicolor
412877,216269,393216,163840,Iris-virginica
380109,176947,334234,124518,Iris-virginica
465306,196608,386662,137626,Iris-virginica
412877,190054,367002,117965,Iris-virginica
425984,196608,380109,144179,Iris-virginica
498074,196608,432538,137626,Iris-virginica
321126,163840,294912,111411,Iris-virginica
478413,190054,412877,117965,Iris-virginica
439091,163840,380109,117965,Iris-virginica
471859,235930,399770,163840,Iris-virginica
425984,209715,334234,131072,Iris-virginica
419430,176947,347341,124518,Iris-virginica
445645,196608,360448,137626,Iris-virginica
373555,163840,327680,131072,Iris-virginica
380109,183501,334234,157286,Iris-virginica
419430,209715,347341,150733,Iris-virginica
425984,196608,360448,117965,Iris-virginica
504627,249037,439091,144179,Iris-virginica
504627,170394,452198,150733,Iris-virginica
393216,144179,327680,98304,Iris-virginica
452198,209715,373555,150733,Iris-virginica
367002,183501,321126,131072,Iris-virginica
504627,183501,439091,131072,Iris-virginica
412877,176947,321126,117965,Iris-virginica
439091,216269,373555,137626,Iris-virginica
471859,209715,393216,117965,Iris-virginica
406323,183501,314573,117965,Iris-virginica
399770,196608,321126,117965,Iris-virginica
419430,183501,367002,137626,Iris-virginica
471859,196608,380109,104858,Iris-virginica
484966,183501,399770,124518,Iris-virginica
517734,249037,419430,131072,Iris-virginica
419430,183501,367002,144179,Iris-virginica
412877,183501,334234,98304,Iris-virginica
399770,170394,367002,91750,Iris-virginica
504627,196608,399770,150733,Iris-virginica
412877,222822,367002,157286,Iris-virginica
419430,203162,360448,117965,Iris-virginica
393216,196608,314573,117965,Iris-virginica
